,lat,lon,DXYP__
485,-84.0,-47.5,6469901000.0
486,-84.0,-45.0,6469901000.0
487,-84.0,-42.5,6469901000.0
488,-84.0,-40.0,6469901000.0
489,-84.0,-37.5,6469901000.0
490,-84.0,-35.0,6469901000.0
491,-84.0,-32.5,6469901000.0
492,-84.0,-30.0,6469901000.0
493,-84.0,-27.5,6469901000.0
494,-84.0,-25.0,6469901000.0
495,-84.0,-22.5,6469901000.0
496,-84.0,-20.0,6469901000.0
497,-84.0,-17.5,6469901000.0
498,-84.0,-15.0,6469901000.0
499,-84.0,-12.5,6469901000.0
500,-84.0,-10.0,6469901000.0
501,-84.0,-7.5,6469901000.0
502,-84.0,-5.0,6469901000.0
503,-84.0,-2.5,6469901000.0
504,-84.0,0.0,6469901000.0
505,-84.0,2.5,6469901000.0
506,-84.0,5.0,6469901000.0
507,-84.0,7.5,6469901000.0
508,-84.0,10.0,6469901000.0
509,-84.0,12.5,6469901000.0
510,-84.0,15.0,6469901000.0
511,-84.0,17.5,6469901000.0
512,-84.0,20.0,6469901000.0
513,-84.0,22.5,6469901000.0
514,-84.0,25.0,6469901000.0
515,-84.0,27.5,6469901000.0
516,-84.0,30.0,6469901000.0
517,-84.0,32.5,6469901000.0
518,-84.0,35.0,6469901000.0
519,-84.0,37.5,6469901000.0
520,-84.0,40.0,6469901000.0
521,-84.0,42.5,6469901000.0
522,-84.0,45.0,6469901000.0
523,-84.0,47.5,6469901000.0
524,-84.0,50.0,6469901000.0
525,-84.0,52.5,6469901000.0
526,-84.0,55.0,6469901000.0
527,-84.0,57.5,6469901000.0
528,-84.0,60.0,6469901000.0
529,-84.0,62.5,6469901000.0
530,-84.0,65.0,6469901000.0
531,-84.0,67.5,6469901000.0
532,-84.0,70.0,6469901000.0
533,-84.0,72.5,6469901000.0
534,-84.0,75.0,6469901000.0
535,-84.0,77.5,6469901000.0
536,-84.0,80.0,6469901000.0
537,-84.0,82.5,6469901000.0
538,-84.0,85.0,6469901000.0
539,-84.0,87.5,6469901000.0
540,-84.0,90.0,6469901000.0
541,-84.0,92.5,6469901000.0
542,-84.0,95.0,6469901000.0
543,-84.0,97.5,6469901000.0
544,-84.0,100.0,6469901000.0
545,-84.0,102.5,6469901000.0
546,-84.0,105.0,6469901000.0
547,-84.0,107.5,6469901000.0
548,-84.0,110.0,6469901000.0
549,-84.0,112.5,6469901000.0
550,-84.0,115.0,6469901000.0
551,-84.0,117.5,6469901000.0
552,-84.0,120.0,6469901000.0
553,-84.0,122.5,6469901000.0
554,-84.0,125.0,6469901000.0
555,-84.0,127.5,6469901000.0
556,-84.0,130.0,6469901000.0
557,-84.0,132.5,6469901000.0
558,-84.0,135.0,6469901000.0
559,-84.0,137.5,6469901000.0
560,-84.0,140.0,6469901000.0
561,-84.0,142.5,6469901000.0
562,-84.0,145.0,6469901000.0
563,-84.0,147.5,6469901000.0
564,-84.0,150.0,6469901000.0
565,-84.0,152.5,6469901000.0
566,-84.0,155.0,6469901000.0
567,-84.0,157.5,6469901000.0
568,-84.0,160.0,6469901000.0
569,-84.0,162.5,6469901000.0
570,-84.0,165.0,6469901000.0
571,-84.0,167.5,6469901000.0
572,-84.0,170.0,6469901000.0
573,-84.0,172.5,6469901000.0
574,-84.0,175.0,6469901000.0
575,-84.0,177.5,6469901000.0
576,-82.0,-180.0,8614268000.0
577,-82.0,-177.5,8614268000.0
578,-82.0,-175.0,8614268000.0
579,-82.0,-172.5,8614268000.0
580,-82.0,-170.0,8614268000.0
581,-82.0,-167.5,8614268000.0
582,-82.0,-165.0,8614268000.0
583,-82.0,-162.5,8614268000.0
584,-82.0,-160.0,8614268000.0
585,-82.0,-157.5,8614268000.0
586,-82.0,-155.0,8614268000.0
587,-82.0,-152.5,8614268000.0
588,-82.0,-150.0,8614268000.0
589,-82.0,-147.5,8614268000.0
590,-82.0,-145.0,8614268000.0
591,-82.0,-142.5,8614268000.0
592,-82.0,-140.0,8614268000.0
593,-82.0,-137.5,8614268000.0
594,-82.0,-135.0,8614268000.0
595,-82.0,-132.5,8614268000.0
596,-82.0,-130.0,8614268000.0
597,-82.0,-127.5,8614268000.0
598,-82.0,-125.0,8614268000.0
599,-82.0,-122.5,8614268000.0
600,-82.0,-120.0,8614268000.0
601,-82.0,-117.5,8614268000.0
602,-82.0,-115.0,8614268000.0
603,-82.0,-112.5,8614268000.0
604,-82.0,-110.0,8614268000.0
605,-82.0,-107.5,8614268000.0
606,-82.0,-105.0,8614268000.0
607,-82.0,-102.5,8614268000.0
608,-82.0,-100.0,8614268000.0
609,-82.0,-97.5,8614268000.0
610,-82.0,-95.0,8614268000.0
611,-82.0,-92.5,8614268000.0
612,-82.0,-90.0,8614268000.0
613,-82.0,-87.5,8614268000.0
614,-82.0,-85.0,8614268000.0
615,-82.0,-82.5,8614268000.0
616,-82.0,-80.0,8614268000.0
617,-82.0,-77.5,8614268000.0
618,-82.0,-75.0,8614268000.0
619,-82.0,-72.5,8614268000.0
620,-82.0,-70.0,8614268000.0
621,-82.0,-67.5,8614268000.0
622,-82.0,-65.0,8614268000.0
623,-82.0,-62.5,8614268000.0
624,-82.0,-60.0,8614268000.0
625,-82.0,-57.5,8614268000.0
626,-82.0,-55.0,8614268000.0
627,-82.0,-52.5,8614268000.0
